period,num_trips,total_amount,trip_distance,passenger_count
2023-01-01,632053,17625887.7,2651204.34,875650
2023-01-08,711494,19245653.67,2655347.02,943588
2023-01-15,720214,19343515.46,2657371.89,954204
2023-01-22,730686,19254732.07,2729110.45,954475
2023-01-29,706518,18576350.55,3134470.82,913856
2023-02-05,733606,19676538.95,2501210.23,958417
2023-02-12,736199,19922249.62,2557239.64,973441
2023-02-19,724677,19712658.89,3098458.76,972627
2023-02-26,749152,20336905.36,3121629.97,979496
2023-03-01,560895,15181854.49,2412606.42,739953
2023-03-05,776693,21227430.94,2735571.24,1019701
2023-03-08,774813,21192570.67,2739557.76,1019293
2023-03-12,781610,21849121.8,3044787.94,1038121
2023-03-15,787016,22096056.77,3079735.47,1044648
2023-03-19,740713,20853872.41,2746223.51,977418
2023-03-22,734288,20675428.19,2935650.0,969859
2023-03-29,546619,15487225.76,2120015.03,707576
